GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SUBSTANCETYPEDISORDER (CODE),SUBSTANCETYPEDISORDER (DISPLAY),SUBSTANCETYPEDISORDER (URL),SUBSTANCETYPE (CODE),SUBSTANCETYPE (DISPLAY),SUBSTANCETYPE (URL),RSUDREP (CODE),RSUDREP (DISPLAY),RSUDREP (URL),RSUDTREATMENT (CODE),RSUDTREATMENT (DISPLAY),RSUDTREATMENT (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,,,,,,,,,,#indicator+value+num,,,,,
RSUD_130,Government unit/official responsible for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2517,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,,,,,,,One unit/official for alcohol and drugs,,,,,,
RSUD_140,Ministry/office that takes primary responsibility for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2553,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,ALCOHOL,Alcohol,,,,,,,,Ministry of health,,,,,,
RSUD_140,Ministry/office that takes primary responsibility for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2553,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,DRUGS,Drugs,,,,,,,,Ministry of health,,,,,,
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_DRUGUSER,Representatives of people who use drugs,,,,,Yes,,,,,,
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_ALCOHOLUSEDISORDER,Representatives of people with alcohol use disorders,,,,,Yes,,,,,,
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_NGO,Representatives of non-governmental organizations,,,,,Yes,,,,,,
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_DRUGUSER,Representatives of people who use drugs,,,,,Yes,,,,,,
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_ALCOHOLUSEDISORDER,Representatives of people with alcohol use disorders,,,,,Yes,,,,,,
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_NGO,Representatives of non-governmental organizations,,,,,Yes,,,,,,
RSUD_200,Confidentiality of people in treatment for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2516,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,ALCOHOL_USE_DISORDERS,Alcohol use disorders,,,,,,,,,,,Yes,,,,,,
RSUD_200,Confidentiality of people in treatment for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2516,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,DRUG_USE_DISORDERS,Drug use disorders,,,,,,,,,,,Yes,,,,,,
RSUD_210,Voluntary treatment for people with alcohol use disorders in the criminal justice system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2515,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,,,,RSUDTREATMENT_ALTERNATIVE,As an alternative to criminal sanction,,Yes,,,,,,
RSUD_230,Compulsory treatment for people with alcohol use disorders in the criminal justice system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2513,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,,,,RSUDTREATMENT_ALTERNATIVE,As an alternative to criminal sanction,,Yes,,,,,,
RSUD_240,Compulsory treatment for people with drug use disorders in the criminal justice system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2513,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,,,,RSUDTREATMENT_ALTERNATIVE,As an alternative to criminal sanction,,Yes,,,,,,
RSUD_240,Compulsory treatment for people with drug use disorders in the criminal justice system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2513,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,,,,RSUDTREATMENT_ADDITION,In addition to criminal sanction,,No data,,,,,,
RSUD_230,Compulsory treatment for people with alcohol use disorders in the criminal justice system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2513,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,,,,RSUDTREATMENT_ADDITION,In addition to criminal sanction,,No data,,,,,,
RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_YOUTH,Representatives of youth organizations,,,,,No data,,,,,,
RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_DRUGUSER,Representatives of people who use drugs,,,,,No data,,,,,,
RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_ALCOHOLUSEDISORDER,Representatives of people with alcohol use disorders,,,,,No data,,,,,,
RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_DRUGUSEDISORDER,Representatives of people with drug use disorders,,,,,No data,,,,,,
RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_ALCOHOLUSEDISORDERFAM,Representatives of family members of people with alcohol use disorders,,,,,No data,,,,,,
RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_DRUGUSEDISORDERFAM,Representatives of family members of people with drug use disorders,,,,,No data,,,,,,
RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_NGO,Representatives of non-governmental organizations,,,,,No data,,,,,,
RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_ALCOHOLINDUSTRY,Representatives of the alcohol industry,,,,,No data,,,,,,
RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_TOBACCOINDUSTRY,Representative of the tobacco industry,,,,,No data,,,,,,
RSUD_150,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_PHARMAINDUSTRY,Representatives of the pharmaceutical industry,,,,,No data,,,,,,
RSUD_220,Voluntary treatment for people with drug use disorders in the criminal justice system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2515,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,,,,RSUDTREATMENT_ADDITION,In addition to criminal sanction,,No data,,,,,,
RSUD_220,Voluntary treatment for people with drug use disorders in the criminal justice system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2515,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,,,,RSUDTREATMENT_ALTERNATIVE,As an alternative to criminal sanction,,Yes,,,,,,
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_YOUTH,Representatives of youth organizations,,,,,No data,,,,,,
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_DRUGUSEDISORDER,Representatives of people with drug use disorders,,,,,No data,,,,,,
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_ALCOHOLUSEDISORDERFAM,Representatives of family members of people with alcohol use disorders,,,,,No data,,,,,,
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_DRUGUSEDISORDERFAM,Representatives of family members of people with drug use disorders,,,,,No data,,,,,,
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_ALCOHOLINDUSTRY,Representatives of the alcohol industry,,,,,No data,,,,,,
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_TOBACCOINDUSTRY,Representative of the tobacco industry,,,,,No data,,,,,,
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_PHARMAINDUSTRY,Representatives of the pharmaceutical industry,,,,,No data,,,,,,
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_YOUTH,Representatives of youth organizations,,,,,No data,,,,,,
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_DRUGUSER,Representatives of people who use drugs,,,,,No data,,,,,,
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_ALCOHOLUSEDISORDER,Representatives of people with alcohol use disorders,,,,,No data,,,,,,
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_DRUGUSEDISORDER,Representatives of people with drug use disorders,,,,,No data,,,,,,
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_ALCOHOLUSEDISORDERFAM,Representatives of family members of people with alcohol use disorders,,,,,No data,,,,,,
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_DRUGUSEDISORDERFAM,Representatives of family members of people with drug use disorders,,,,,No data,,,,,,
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_NGO,Representatives of non-governmental organizations,,,,,No data,,,,,,
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_ALCOHOLINDUSTRY,Representatives of the alcohol industry,,,,,No data,,,,,,
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_TOBACCOINDUSTRY,Representative of the tobacco industry,,,,,No data,,,,,,
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2549,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_PHARMAINDUSTRY,Representatives of the pharmaceutical industry,,,,,No data,,,,,,
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_YOUTH,Representatives of youth organizations,,,,,No data,,,,,,
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_DRUGUSEDISORDER,Representatives of people with drug use disorders,,,,,No data,,,,,,
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_ALCOHOLUSEDISORDERFAM,Representatives of family members of people with alcohol use disorders,,,,,No data,,,,,,
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_DRUGUSEDISORDERFAM,Representatives of family members of people with drug use disorders,,,,,No data,,,,,,
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_ALCOHOLINDUSTRY,Representatives of the alcohol industry,,,,,No data,,,,,,
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_TOBACCOINDUSTRY,Representative of the tobacco industry,,,,,No data,,,,,,
RSUD_180,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2554,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,RSUDREP_PHARMAINDUSTRY,Representatives of the pharmaceutical industry,,,,,No data,,,,,,
RSUD_190,Five years change in international cooperation for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2542,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,ALCOHOL,Alcohol,,,,,,,,No data,,,,,,
RSUD_190,Five years change in international cooperation for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2542,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,DRUGS,Drugs,,,,,,,,No data,,,,,,
RSUD_210,Voluntary treatment for people with alcohol use disorders in the criminal justice system,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2515,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,,,,RSUDTREATMENT_ADDITION,In addition to criminal sanction,,No data,,,,,,
